Protein Group Name,Representative Protein Description,Total Amino Acids,Sequence Coverage (%),Sequence Coverage Unshared only (%),Sequence Redundancy (%),Numbers of Proteins,# of PSMs,# of Unique Peptides,# Shared Peptides,# PSMs in Experiment,# Unique Seq in Experiment,# Shared Peptides in Experiment,P-Score,# Quantified PSMs,# Quantified Peptides,WT_0Min_(TMT 126C PCN),WT_0Min_(TMT 127N PCN),_Env_0Min_(TMT 127C PCN),_Env_0Min_(TMT 128N PCN),WT_5Min_(TMT 128C PCN),WT_5Min_(TMT 129N PCN),_Env_5Min_(TMT 129C PCN),_Env_5Min_(TMT 130N PCN),_Genome_5Min_(TMT 130C PCN),_Genome_5Min_(TMT 131N PCN),Uniprot IDs,Gene Names
PG245252,sp|Q96D71|REPS1_HUMAN RalBP1-associated Eps domain-containing protein 1 OS=Homo sapiens GN=REPS1 PE=1 SV=3,796,39.95,39.95,10.8,2,105,24,0,3,3,0,5.3023986717703E-314,3,3,38489.48859,41501.50858,36952.77784,37407.7941,35439.89175,36420.85701,38448.67257,35955.37594,35721.00701,37634.53048,Q96D71|Q96D71-3,REPS1
PG242107,sp|P14317|HCLS1_HUMAN Hematopoietic lineage cell-specific protein OS=Homo sapiens GN=HCLS1 PE=1 SV=3,486,42.18,42.18,21.81,1,108,23,0,4,4,0,5.82156106291451E-314,3,3,47658.22155,50166.0642,43208.21143,46710.87457,47912.50447,44705.62782,44700.70548,41755.89852,43558.03884,47046.4433,P14317,HCLS1
PG256429,tr|B4E0Y9|B4E0Y9_HUMAN Serine/threonine-protein kinase 26 OS=Homo sapiens GN=STK26 PE=1 SV=1,438,54.57,38.36,15.07,2,55,22,8,11,11,8,2.55343567160111E-310,3,3,40330.42062,39140.24992,40500.12443,35040.24473,36277.9788,34699.70821,35574.57939,36643.65975,36908.50994,41141.68197,Q9P289|B4E0Y9,STK26
PG256289,sp|Q7Z7L1|SLN11_HUMAN Schlafen family member 11 OS=Homo sapiens GN=SLFN11 PE=1 SV=2,901,28.3,25.97,1.221,1,49,22,2,3,3,0,0.00E+00,3,3,9433.542397,10471.3567,8916.593075,9699.676619,10036.20858,9669.975143,9431.741778,10591.85068,8279.103862,11531.51655,Q7Z7L1,SLFN11
PG244422,sp|P49585|PCY1A_HUMAN Choline-phosphate cytidylyltransferase A OS=Homo sapiens GN=PCYT1A PE=1 SV=2,367,69.48,69.48,10.63,1,101,25,0,3,3,0,0.00E+00,3,3,28063.29757,24491.98846,24572.58252,27160.82086,26196.0552,29185.97338,26433.48319,23800.80762,26391.0516,24468.91863,P49585,PCYT1A
PG254447,sp|Q9NZT2|OGFR_HUMAN Opioid growth factor receptor OS=Homo sapiens GN=OGFR PE=1 SV=3,677,45.05,45.05,10.64,2,64,21,0,3,3,0,2.12E-301,3,3,32800.30626,30690.67053,27664.69331,28878.11853,27628.18341,30123.09067,28583.17607,28440.14862,28675.00583,30067.42126,Q9NZT2|Q9NZT2-2,OGFR
PG256688,sp|Q9Y5J1|UTP18_HUMAN U3 small nucleolar RNA-associated protein 18 homolog OS=Homo sapiens GN=UTP18 PE=1 SV=3,556,47.48,47.48,11.15,1,67,20,0,3,3,0,3.73E-300,3,3,17615.98831,20344.90689,17410.06958,26512.7474,25442.02403,20644.95017,21096.69687,26159.18049,24084.0293,23360.04082,Q9Y5J1,UTP18
PG246207,sp|Q9UMZ2|SYNRG_HUMAN Synergin gamma OS=Homo sapiens GN=SYNRG PE=1 SV=2,1314,18.72,18.72,6.773,6,69,22,0,3,3,0,5.20E-300,3,3,34557.38314,32698.07926,29263.58052,30516.89509,31202.01393,33240.67284,33034.6425,31233.31292,32972.93259,34941.46075,Q9UMZ2|Q9UMZ2-3|Q9UMZ2-4|Q9UMZ2-5|Q9UMZ2-7|Q9UMZ2-8,SYNRG
PG249198,tr|A0A140T9E9|A0A140T9E9_HUMAN Bromodomain-containing protein 2 (Fragment) OS=Homo sapiens GN=BRD2 PE=1 SV=1,807,32.22,30.61,7.931,4,87,22,1,5,4,1,1.49E-299,3,3,54660.14512,53999.10988,46393.93544,51049.20618,55772.32546,54736.98807,54248.64524,56222.88041,52313.02892,54963.92634,P25440|P25440-3|H0Y6K2|A0A140T9E9,BRD2
PG254702,sp|P17858|PFKAL_HUMAN ATP-dependent 6-phosphofructokinase; liver type OS=Homo sapiens GN=PFKL PE=1 SV=6,780,31.28,25.51,2.308,1,51,22,4,5,5,2,1.87E-297,3,3,61104.3013,63151.47657,58893.81744,59625.40334,49643.27661,54976.8467,51232.19519,51028.17461,51457.15216,49890.5274,P17858,PFKL
PG257080,sp|Q14966|ZN638_HUMAN Zinc finger protein 638 OS=Homo sapiens GN=ZNF638 PE=1 SV=2,1978,11.93,11.93,2.477,1,86,24,0,3,3,0,2.34E-297,3,3,12023.66299,12743.69084,12598.39065,16739.26721,14824.35672,14019.99111,15687.8367,13169.20304,15856.99556,16590.10574,Q14966,ZNF638
PG254806,sp|P42356|PI4KA_HUMAN Phosphatidylinositol 4-kinase alpha OS=Homo sapiens GN=PI4KA PE=1 SV=4,2102,11.37,11.37,1.047,1,48,22,0,3,3,0,1.02E-295,3,3,39811.34586,36961.57617,33590.31307,37654.28655,33897.01257,36766.09958,34740.03724,34648.08246,36638.48316,38255.45963,P42356,PI4KA
PG247717,sp|Q96JH7|VCIP1_HUMAN Deubiquitinating protein VCIP135 OS=Homo sapiens GN=VCPIP1 PE=1 SV=2,1222,22.83,22.83,2.946,1,60,25,0,3,3,0,2.11E-295,3,3,42510.05363,41760.07138,40081.97129,39347.67906,41936.78027,48433.33317,41607.88198,46369.29392,43137.39435,46506.62913,Q96JH7,VCPIP1
PG256261,sp|Q92925-3|SMRD2_HUMAN Isoform 3 of SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 2 OS=Homo sapiens GN=SMARCD2,483,48.24,44.31,11.18,1,54,22,2,5,4,1,5.56E-289,3,3,12130.89812,13259.30535,11354.57029,12832.37993,12964.52492,10192.50158,12116.36288,13738.40023,10745.38182,12324.17348,Q92925-3,SMARCD2
PG248093,sp|Q15057|ACAP2_HUMAN Arf-GAP with coiled-coil; ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ACAP2 PE=1 SV=3,778,24.55,24.55,5.656,1,51,21,0,3,3,0,1.51E-288,3,3,29961.91889,27454.59277,26558.43294,25403.6047,25535.63513,23862.33056,24642.96249,22758.87789,24505.40889,25554.52532,Q15057,ACAP2
PG244259,sp|Q86WB0|NIPA_HUMAN Nuclear-interacting partner of ALK OS=Homo sapiens GN=ZC3HC1 PE=1 SV=1,502,44.62,44.62,14.14,2,216,19,0,3,2,0,8.70E-283,3,2,30739.43124,31381.17006,31417.46934,28794.4352,30961.3602,29910.80739,28487.24406,26596.15011,29135.03566,31023.77173,Q86WB0|C9J0I9,ZC3HC1
PG250285,sp|O14647|CHD2_HUMAN Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens GN=CHD2 PE=1 SV=2,1828,12.8,10.01,2.516,1,57,21,5,6,6,3,8.51E-273,3,3,40130.31141,39935.82218,36129.2431,44891.63321,46522.57037,32187.16719,40834.57289,42826.88778,44728.91991,41104.68664,O14647,CHD2
PG246555,sp|Q9NYB0|TE2IP_HUMAN Telomeric repeat-binding factor 2-interacting protein 1 OS=Homo sapiens GN=TERF2IP PE=1 SV=1,399,50.63,50.63,18.05,1,99,19,0,3,3,0,6.08E-265,3,3,29780.34053,32931.55974,27424.77358,29350.03662,26691.60726,31238.45035,24061.39895,24653.81889,28627.53349,32093.99491,Q9NYB0,TERF2IP
PG257443,sp|Q9UBW7|ZMYM2_HUMAN Zinc finger MYM-type protein 2 OS=Homo sapiens GN=ZMYM2 PE=1 SV=1,1377,18.88,18.88,1.017,1,41,20,0,3,3,0,1.61E-264,3,3,33042.54939,29813.52684,31469.22591,29568.659,29012.4411,31987.19529,29952.63767,27103.84526,29997.19125,35250.26721,Q9UBW7,ZMYM2
PG251072,sp|P39880-3|CUX1_HUMAN Isoform 3 of Homeobox protein cut-like 1 OS=Homo sapiens GN=CUX1,1516,15.9,6.926,0.7256,3,57,18,11,11,10,7,1.33E-262,3,3,29067.45067,25333.12629,28572.13166,25407.66199,25103.43468,25539.95643,25343.66453,26067.14645,25195.61781,26172.50558,P39880|P39880-2|P39880-3,CUX1
PG255045,tr|F8W0Q9|F8W0Q9_HUMAN Periphilin-1 OS=Homo sapiens GN=PPHLN1 PE=1 SV=1,385,51.43,51.43,11.69,4,97,23,0,3,3,0,7.35E-262,3,3,20501.55548,21807.82784,31439.20548,28667.6948,28465.75943,31320.09957,32584.0726,24672.51866,33001.39271,25408.51857,Q8NEY8-2|Q8NEY8-8|Q8NEY8-9|F8W0Q9,PPHLN1
PG243064,sp|Q1ED39|KNOP1_HUMAN Lysine-rich nucleolar protein 1 OS=Homo sapiens GN=KNOP1 PE=1 SV=1,458,50.44,50.44,19.65,1,62,21,0,3,3,0,1.99E-258,3,3,39944.29716,38642.41698,36064.58011,39655.53751,42061.71205,40195.39065,42458.31633,39756.01209,49013.31367,41896.234,Q1ED39,KNOP1
PG251864,sp|Q9NZJ0|DTL_HUMAN Denticleless protein homolog OS=Homo sapiens GN=DTL PE=1 SV=3,730,23.56,23.56,7.123,2,73,20,0,3,3,0,4.66E-257,3,3,37161.39842,35061.54601,31696.06748,35536.49439,38255.85807,35926.72657,34419.77148,36425.0402,39060.75131,39537.77633,Q9NZJ0|F5GZ90,DTL
PG255115,sp|P00491|PNPH_HUMAN Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2,289,70.24,21.11,8.651,1,68,16,12,11,10,8,1.84E-256,3,2,29008.31319,30827.86311,29132.61771,28023.55565,32021.33811,35366.21171,29327.59065,31682.92699,31837.7692,32699.11174,P00491,PNP
PG246864,sp|Q9UKI8|TLK1_HUMAN Serine/threonine-protein kinase tousled-like 1 OS=Homo sapiens GN=TLK1 PE=1 SV=2,766,28.07,16.71,3.133,1,48,20,10,5,5,2,3.29E-255,3,3,8457.057207,9695.045826,7441.765405,8645.737422,8404.783716,9168.811876,7523.5375,7499.965141,8175.685689,7291.760284,Q9UKI8,TLK1
PG242245,sp|Q7Z4H7|HAUS6_HUMAN HAUS augmin-like complex subunit 6 OS=Homo sapiens GN=HAUS6 PE=1 SV=2,955,24.82,24.82,2.932,1,54,20,0,3,3,0,9.25E-255,3,3,29209.71696,28458.67717,27055.98553,29728.70189,28553.78894,32096.33478,25839.48413,30399.38147,30411.41938,29432.17684,Q7Z4H7,HAUS6
PG248315,sp|Q86XL3|ANKL2_HUMAN Ankyrin repeat and LEM domain-containing protein 2 OS=Homo sapiens GN=ANKLE2 PE=1 SV=4,938,23.77,23.77,2.878,1,61,19,0,3,3,0,3.24E-253,3,3,38812.92865,37646.62251,31660.09072,39153.34018,39361.29374,36931.56428,34455.60262,35396.41182,31317.86484,33397.5983,Q86XL3,ANKLE2
PG248678,sp|O95671|ASML_HUMAN N-acetylserotonin O-methyltransferase-like protein OS=Homo sapiens GN=ASMTL PE=1 SV=3,621,35.59,35.59,10.95,1,49,18,0,3,3,0,1.92E-252,3,3,37818.35203,34197.75589,33680.43933,32851.52044,35677.21467,32146.70907,29949.13048,37256.3736,36234.0339,35962.96207,O95671,ASMTL
PG256388,sp|Q8WVM7|STAG1_HUMAN Cohesin subunit SA-1 OS=Homo sapiens GN=STAG1 PE=1 SV=3,1258,14.94,8.506,1.431,2,41,20,11,8,8,5,1.66E-251,3,3,23558.16106,24503.27002,21034.88034,22009.79604,23700.44561,22947.74952,21124.33088,22701.42639,22252.51699,22429.2247,Q8WVM7|Q8WVM7-2,STAG1
PG249317,sp|Q9NR09|BIRC6_HUMAN Baculoviral IAP repeat-containing protein 6 OS=Homo sapiens GN=BIRC6 PE=1 SV=2,4857,4.385,4.385,0,1,40,19,0,3,3,0,5.24E-244,3,3,45356.76181,47340.03144,40614.56242,46847.12035,42858.55215,40730.91545,37385.97217,43608.49059,40587.51887,37690.21557,Q9NR09,BIRC6
PG253433,sp|Q96II8|LRCH3_HUMAN Leucine-rich repeat and calponin homology domain-containing protein 3 OS=Homo sapiens GN=LRCH3 PE=1 SV=2,777,25.61,24.58,9.653,1,42,18,1,3,3,0,3.55E-242,3,3,36083.68892,32671.16392,31313.84032,28158.11389,31204.60689,31682.90961,30502.13137,27101.42709,32210.90253,34774.71007,Q96II8,LRCH3
PG248424,sp|Q92667|AKAP1_HUMAN A-kinase anchor protein 1; mitochondrial OS=Homo sapiens GN=AKAP1 PE=1 SV=1,903,21.93,21.93,4.762,1,64,16,0,3,3,0,1.32E-237,3,3,24431.38886,20163.80511,21694.86741,23382.84604,24989.41086,25515.06638,24891.88397,21838.74761,23540.16742,24873.37395,Q92667,AKAP1
PG249014,sp|Q9ULI0|ATD2B_HUMAN ATPase family AAA domain-containing protein 2B OS=Homo sapiens GN=ATAD2B PE=1 SV=3,1458,15.91,14.47,0,2,48,18,2,4,4,1,1.83E-234,3,3,58755.83742,65338.88303,56497.21942,63938.33498,54270.79779,49050.1063,55828.5068,57657.13175,52939.53241,55108.52007,Q9ULI0|Q9ULI0-2,ATAD2B
PG256230,sp|O95104|SFR15_HUMAN Splicing factor; arginine/serine-rich 15 OS=Homo sapiens GN=SCAF4 PE=1 SV=3,1147,21.27,19.62,1.482,1,39,18,2,4,4,1,3.41E-233,3,3,58647.51039,54675.70634,51182.82786,52980.13066,52654.81309,51732.35266,50954.01008,53425.70759,58688.55216,57846.95431,O95104,SCAF4
PG245615,sp|Q9BZE1|RM37_HUMAN 39S ribosomal protein L37; mitochondrial OS=Homo sapiens GN=MRPL37 PE=1 SV=2,423,48.46,48.46,6.619,1,28,17,0,3,3,0,5.48E-232,3,3,46055.46826,44353.82628,42280.60375,36090.86441,39122.2115,46321.6984,43276.74608,43729.27873,41209.18744,44294.62838,Q9BZE1,MRPL37
PG245458,sp|Q6WKZ4|RFIP1_HUMAN Rab11 family-interacting protein 1 OS=Homo sapiens GN=RAB11FIP1 PE=1 SV=3,1283,16.52,16.52,4.287,1,73,17,0,3,3,0,5.81E-232,3,3,48303.45768,46975.40536,43971.44326,43437.0505,47736.98226,44696.10473,43291.5994,45182.30327,46781.31271,48760.02554,Q6WKZ4,RAB11FIP1
PG249638,sp|P22681|CBL_HUMAN E3 ubiquitin-protein ligase CBL OS=Homo sapiens GN=CBL PE=1 SV=2,906,26.27,23.4,3.201,1,71,17,2,4,4,1,1.20E-230,3,3,30068.53082,30336.13501,29712.23792,29885.53878,27155.87077,29212.90273,26288.57424,28779.18384,29924.18946,28744.5807,P22681,CBL
PG247471,sp|Q13107|UBP4_HUMAN Ubiquitin carboxyl-terminal hydrolase 4 OS=Homo sapiens GN=USP4 PE=1 SV=3,963,20.35,16.93,0,1,32,18,3,4,4,1,1.64E-230,3,3,46343.58022,47038.06559,44338.08371,41595.10857,45339.07379,44964.08163,41181.14383,41480.4277,41613.00044,37829.89844,Q13107,USP4
PG242292,sp|O75874|IDHC_HUMAN Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens GN=IDH1 PE=1 SV=2,414,46.38,41.06,5.797,1,33,17,3,5,5,2,1.97E-230,3,3,59812.21454,59584.77889,57020.99271,54957.20734,51015.38761,53747.06895,56102.92677,57573.88815,57044.82249,55768.28097,O75874,IDH1
PG252254,sp|Q5JSP0|FGD3_HUMAN FYVE; RhoGEF and PH domain-containing protein 3 OS=Homo sapiens GN=FGD3 PE=1 SV=1,725,25.1,25.1,7.586,2,33,16,0,3,3,0,4.43E-230,3,3,39314.14727,38255.12694,41669.32939,43782.32603,36728.48744,42907.70685,39095.28936,40921.71043,39637.48829,41476.46804,Q5JSP0|Q5JSP0-3,FGD3
PG256559,sp|Q9UH99-2|SUN2_HUMAN Isoform 2 of SUN domain-containing protein 2 OS=Homo sapiens GN=SUN2,738,30.22,30.22,3.523,2,35,16,0,3,3,0,4.93E-229,3,3,43597.72648,40301.18932,39857.2161,56640.05501,52150.87085,37841.78948,51585.93084,44877.33823,48089.03677,42841.33928,Q9UH99|Q9UH99-2,SUN2
PG256131,sp|O15047|SET1A_HUMAN Histone-lysine N-methyltransferase SETD1A OS=Homo sapiens GN=SETD1A PE=1 SV=3,1707,14.53,14.53,1.757,1,41,18,0,3,3,0,6.60E-229,3,3,14877.30485,12451.5395,13491.1801,13870.21532,15424.71482,14374.32801,12148.72367,14060.6046,14137.75273,17038.23664,O15047,SETD1A
PG245175,sp|Q9UKL0|RCOR1_HUMAN REST corepressor 1 OS=Homo sapiens GN=RCOR1 PE=1 SV=2,485,45.36,42.89,9.897,1,70,15,1,4,4,1,8.08E-228,3,3,46445.69929,49025.84914,40394.09742,46786.26422,42102.09322,40400.30224,43381.32524,43167.34269,39593.50992,43675.96868,Q9UKL0,RCOR1
PG254757,sp|Q9UBF8-2|PI4KB_HUMAN Isoform 2 of Phosphatidylinositol 4-kinase beta OS=Homo sapiens GN=PI4KB,801,26.47,26.47,3.62,1,66,17,0,3,3,0,2.14E-227,3,3,51204.99178,48867.72155,49340.13843,46394.92364,50699.04888,47450.23122,53261.68637,37913.69546,46202.71572,44094.42867,Q9UBF8-2,PI4KB
PG244493,sp|Q13951-2|PEBB_HUMAN Isoform 2 of Core-binding factor subunit beta OS=Homo sapiens GN=CBFB,187,62.57,15.51,32.62,1,88,16,12,13,11,9,3.49E-226,3,2,26851.26451,23794.66456,21919.79911,26147.74098,27428.47248,24295.18601,26617.15183,27661.33367,28084.1703,25198.68631,Q13951-2,CBFB
PG256913,sp|Q5VZL5|ZMYM4_HUMAN Zinc finger MYM-type protein 4 OS=Homo sapiens GN=ZMYM4 PE=1 SV=1,1548,15.25,14.6,1.098,3,60,17,1,3,3,0,8.08E-226,3,3,72606.34769,76213.64784,73598.39686,75058.82801,76886.3918,64730.15934,74067.45346,72438.94878,75669.44575,75988.10596,Q5VZL5|Q5VZL5-2|Q5VZL5-4,ZMYM4
PG255140,sp|P48426|PI42A_HUMAN Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha OS=Homo sapiens GN=PIP4K2A PE=1 SV=2,406,35.71,25.37,10.59,1,41,16,6,5,5,2,1.24E-225,3,3,23474.50011,24590.73782,21633.75387,20634.26352,20098.87712,22726.82021,20750.50546,20541.54074,21273.32231,20606.99847,P48426,PIP4K2A
PG253670,sp|Q9HCC0|MCCB_HUMAN Methylcrotonoyl-CoA carboxylase beta chain; mitochondrial OS=Homo sapiens GN=MCCC2 PE=1 SV=1,563,36.41,35.35,0,2,42,16,1,3,3,0,1.26E-225,3,3,39367.49178,35205.28761,34673.28246,32721.01461,32309.18275,31390.58182,32791.33319,31725.6528,30806.29369,29592.01239,Q9HCC0|Q9HCC0-2,MCCC2
PG245563,sp|P62987|RL40_HUMAN Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens GN=UBA52 PE=1 SV=2,128,64.84,8.594,55.47,1,148,15,13,20,6,4,1.73E-224,3,2,37937.95981,32044.73436,34302.5588,35542.93931,39987.22305,32937.04844,37971.68503,39344.18021,36341.20678,36962.23004,P62987,UBA52
PG244659,sp|Q9BWT3|PAPOG_HUMAN Poly(A) polymerase gamma OS=Homo sapiens GN=PAPOLG PE=1 SV=2,736,22.55,18.75,3.533,2,65,16,3,7,6,3,1.87E-222,3,3,28504.99764,36713.55985,28452.92947,33030.90986,29912.47891,29589.77057,30825.30637,37847.38799,25041.2073,30803.76544,Q9BWT3|Q9BWT3-2,PAPOLG
PG257003,sp|Q9H6S0|YTDC2_HUMAN Probable ATP-dependent RNA helicase YTHDC2 OS=Homo sapiens GN=YTHDC2 PE=1 SV=2,1430,12.8,12.8,2.517,1,43,18,0,3,3,0,2.97E-221,3,3,48493.44899,50391.40229,40175.88403,48821.00208,43714.79834,42713.23108,42745.78365,44679.55233,46452.20708,47623.26976,Q9H6S0,YTHDC2
PG250153,sp|Q8WUX9|CHMP7_HUMAN Charged multivesicular body protein 7 OS=Homo sapiens GN=CHMP7 PE=1 SV=1,453,33.55,22.74,10.38,1,32,17,5,7,7,4,8.23E-221,3,3,29644.91367,32023.31712,27030.19393,28824.78857,28103.68809,25967.88672,23935.1059,26713.74467,25684.62967,27918.93854,Q8WUX9,CHMP7
PG244347,sp|Q6VY07|PACS1_HUMAN Phosphofurin acidic cluster sorting protein 1 OS=Homo sapiens GN=PACS1 PE=1 SV=2,963,18.59,17.76,0.8307,1,46,15,1,3,3,0,6.27E-220,3,3,72275.28571,67292.32145,65738.38465,71234.80389,68973.79284,69840.95211,66355.32602,71385.42396,65909.99149,71722.94462,Q6VY07,PACS1
PG254464,sp|O60502|OGA_HUMAN Protein O-GlcNAcase OS=Homo sapiens GN=MGEA5 PE=1 SV=2,916,22.27,22.27,0,1,33,16,0,3,3,0,1.90E-217,3,3,47214.27566,48929.94607,47225.5753,46951.44717,44246.43254,44275.73435,40312.75302,45771.57769,42929.57262,42242.8474,O60502,MGEA5
PG244848,sp|Q8NAV1|PR38A_HUMAN Pre-mRNA-splicing factor 38A OS=Homo sapiens GN=PRPF38A PE=1 SV=1,312,54.17,54.17,16.99,1,60,16,0,3,3,0,5.20E-216,3,3,62493.10733,62644.67793,57956.2349,57614.04449,50644.86672,54387.15785,55211.5605,55176.48057,53079.85299,53522.06374,Q8NAV1,PRPF38A
PG248492,sp|Q9UKV8|AGO2_HUMAN Protein argonaute-2 OS=Homo sapiens GN=AGO2 PE=1 SV=3,859,25.15,15.37,0,1,36,15,7,4,4,1,8.28E-215,3,3,59480.78956,57279.6345,55709.91493,60909.64315,59068.7157,59727.41457,57615.01535,58491.88015,61406.22034,61667.93488,Q9UKV8,AGO2
PG252899,sp|Q9P107|GMIP_HUMAN GEM-interacting protein OS=Homo sapiens GN=GMIP PE=1 SV=2,970,21.34,21.34,1.546,1,40,16,0,3,3,0,4.91E-214,3,3,18260.05574,20065.60647,19242.27757,17704.19551,18447.66238,18421.22947,19419.81106,18866.30451,17726.35518,15188.51424,Q9P107,GMIP
PG255593,sp|P82933|RT09_HUMAN 28S ribosomal protein S9; mitochondrial OS=Homo sapiens GN=MRPS9 PE=1 SV=2,396,41.67,41.67,7.071,1,40,14,0,4,4,0,5.89E-214,3,3,42096.80935,41584.45473,46210.68395,49831.74176,46402.60992,45758.96966,45599.59772,46218.82392,47330.72782,51961.91216,P82933,MRPS9
PG249403,sp|Q9NXV6|CARF_HUMAN CDKN2A-interacting protein OS=Homo sapiens GN=CDKN2AIP PE=1 SV=3,580,35.86,35.86,4.138,1,30,16,0,3,3,0,6.24E-214,3,3,58908.16485,59205.26591,56857.67854,59309.66935,55698.31986,60784.31825,56051.55096,56457.44834,57805.52972,57364.55334,Q9NXV6,CDKN2AIP
PG244119,sp|P46934-4|NEDD4_HUMAN Isoform 4 of E3 ubiquitin-protein ligase NEDD4 OS=Homo sapiens GN=NEDD4,900,22.89,21.11,2.889,1,32,16,2,5,5,2,1.01E-211,3,3,23731.10837,23810.05771,22936.54272,22978.59278,25670.28416,25473.1659,22444.51453,21819.13941,22022.06659,22998.93063,P46934-4,NEDD4
PG251126,sp|Q9HC35|EMAL4_HUMAN Echinoderm microtubule-associated protein-like 4 OS=Homo sapiens GN=EML4 PE=1 SV=3,981,16.11,16.11,1.427,1,33,14,0,3,3,0,2.80E-211,3,3,14420.72834,16957.64714,13440.83375,14065.19554,17125.93582,14356.06035,15218.09277,16806.24829,16028.62184,16422.3467,Q9HC35,EML4
PG251647,sp|O00273|DFFA_HUMAN DNA fragmentation factor subunit alpha OS=Homo sapiens GN=DFFA PE=1 SV=1,331,41.09,11.78,13.9,1,65,14,9,4,4,1,5.54E-211,3,3,20733.05199,23494.82126,19957.21052,21778.88112,20622.03679,21137.72576,22514.3225,22680.82001,20784.94634,23448.99477,O00273,DFFA
PG244198,sp|P16333|NCK1_HUMAN Cytoplasmic protein NCK1 OS=Homo sapiens GN=NCK1 PE=1 SV=1,377,37.93,37.93,12.47,1,47,14,0,3,3,0,7.59E-211,3,3,14507.49701,18442.27306,15784.21949,13823.60333,14850.08672,17533.6969,15799.71754,15461.52269,15385.24592,16922.97443,P16333,NCK1
PG243308,sp|Q9NQT8|KI13B_HUMAN Kinesin-like protein KIF13B OS=Homo sapiens GN=KIF13B PE=1 SV=2,1826,10.08,9.584,0.8215,1,46,17,1,3,3,0,6.58E-209,3,3,28339.15655,27417.88404,30608.45556,28146.76474,29083.97827,29073.65335,30076.11583,23736.67293,30530.53194,30832.51335,Q9NQT8,KIF13B
PG249830,sp|P50750-2|CDK9_HUMAN Isoform 2 of Cyclin-dependent kinase 9 OS=Homo sapiens GN=CDK9,489,31.29,27.81,4.908,2,49,15,2,5,5,2,6.38E-208,3,3,18700.25687,16295.27516,13609.67704,14966.46192,18727.38269,15439.81345,15275.82372,16835.89475,17737.16729,15017.89585,P50750|P50750-2,CDK9
PG250991,sp|Q9UK59|DBR1_HUMAN Lariat debranching enzyme OS=Homo sapiens GN=DBR1 PE=1 SV=2,544,29.6,29.6,6.985,1,72,15,0,3,3,0,5.68E-202,3,3,11315.14467,12388.1938,10735.67345,9685.83122,13822.32775,12762.14291,11514.18605,10236.2872,12414.89567,10761.36171,Q9UK59,DBR1
PG255416,sp|Q3B726|RPA43_HUMAN DNA-directed RNA polymerase I subunit RPA43 OS=Homo sapiens GN=TWISTNB PE=1 SV=1,338,35.21,35.21,12.43,1,70,14,0,3,3,0,4.28E-200,3,3,27578.4648,27742.22318,24875.98313,27548.13497,24209.39878,24118.75382,24002.44035,22790.60525,21406.77865,22855.86776,Q3B726,TWISTNB
PG243039,sp|Q14643|ITPR1_HUMAN Inositol 1;4;5-trisphosphate receptor type 1 OS=Homo sapiens GN=ITPR1 PE=1 SV=3,2758,6.49,3.445,1.051,8,35,15,9,5,5,2,4.06E-199,3,3,11750.97071,12735.15663,9293.475101,11146.47908,13446.57066,11881.08785,11395.8352,12317.75627,11929.72115,12709.235,Q14643|Q14643-2|Q14643-3|Q14643-4|Q14643-5|Q14643-6|Q14643-7|Q14643-8,ITPR1
PG247407,sp|Q8TBC4|UBA3_HUMAN NEDD8-activating enzyme E1 catalytic subunit OS=Homo sapiens GN=UBA3 PE=1 SV=2,463,39.74,38.44,2.376,1,25,13,1,3,3,0,4.68E-199,3,3,60131.2463,60078.67428,57646.26895,55280.58595,53070.85439,56466.5323,51097.64943,52418.09293,53329.96484,58471.10276,Q8TBC4,UBA3
PG242151,sp|O15347|HMGB3_HUMAN High mobility group protein B3 OS=Homo sapiens GN=HMGB3 PE=1 SV=4,200,61,54,20.5,1,36,15,3,4,4,1,1.64E-196,3,3,85062.98798,78572.53323,70835.85437,85723.15212,96111.87903,72401.93094,97328.24052,94914.02027,109071.3771,106120.1735,O15347,HMGB3
PG253268,sp|Q5GLZ8|HERC4_HUMAN Probable E3 ubiquitin-protein ligase HERC4 OS=Homo sapiens GN=HERC4 PE=1 SV=1,1057,14.47,14.47,1.892,3,23,15,0,3,3,0,5.58E-195,3,3,26555.21177,26081.00858,23422.15156,26146.25586,28800.10247,32197.4077,27680.24568,30815.02243,31963.65192,29350.93139,Q5GLZ8|Q5GLZ8-2|Q5GLZ8-6,HERC4
PG256924,sp|Q9UQR1|ZN148_HUMAN Zinc finger protein 148 OS=Homo sapiens GN=ZNF148 PE=1 SV=2,794,23.55,22.42,2.141,1,59,14,1,3,3,0,1.42E-194,3,3,24741.96544,24140.70947,20982.21707,25114.13566,28189.43251,21150.07143,25693.34698,28097.60925,28726.72832,27660.71996,Q9UQR1,ZNF148
