Protein Group Name	Representative Protein Description	Total Amino Acids	Sequence Coverage (%)	Sequence Coverage Unshared only (%)	Sequence Redundancy (%)	Numbers of Proteins	# of PSMs	# of Unique Peptides	# Shared Peptides	# PSMs in Experiment	# Unique Seq in Experiment	# Shared Peptides in Experiment	P-Score	# Quantified PSMs	# Quantified Peptides	_Env_0Min_(TMT 127C PCN)	_Env_0Min_(TMT 128N PCN)	_Env_5Min_(TMT 129C PCN)	_Env_5Min_(TMT 130N PCN)	_Genome_5Min_(TMT 130C PCN)	_Genome_5Min_(TMT 131N PCN)	Uniprot IDs	Gene Names	Uniprot	tmpSum	0min_1	0min_2	5min_1	5min_2	mean0min	mean5min	log05	pVal05	qVal05
PG256249	tr|F8W8D3|F8W8D3_HUMAN Histone RNA hairpin-binding protein OS=Homo sapiens GN=SLBP PE=1 SV=1	277	31.41	31.41	0.0	2	69	7	0	3	3	0	4.93e-91	3	3	30216.31439	33770.4906	31534.10254	34417.92254	35634.87451	37593.2755	Q14493|F8W8D3	SLBP	F8W8D3	139723.98649	34035.06334	31430.6847375	37758.481485	36866.738295	32732.87403875	37312.60989	0.18892299464769605	0.045697525533673	0.137715017463351
PG242191	sp|Q9UII4|HERC5_HUMAN E3 ISG15--protein ligase HERC5 OS=Homo sapiens GN=HERC5 PE=1 SV=2	1024	19.43	19.43	0.0	1	17	13	0	6	6	0	4.64e-180	6	6	34388.17679	37154.54822	30991.22986	34495.36908	34968.75679	36017.23261	Q9UII4	HERC5	Q9UII4	139531.60284	36824.142475	35141.835275	33839.242255	33299.1028275	35982.988874999995	33569.172541249995	-0.10017805098783567	0.171125720343049	0.236634115523564
PG252540	sp|Q9NYL4|FKB11_HUMAN Peptidyl-prolyl cis-trans isomerase FKBP11 OS=Homo sapiens GN=FKBP11 PE=1 SV=1	201	23.38	23.38	4.975	3	8	4	0	3	3	0	1.96e-55	3	3	30585.77823	42064.92245	34755.27258	36268.89895	35126.31293	34042.87715	Q9NYL4|Q9NYL4-2|F8VU90	FKBP11	Q9NYL4	139375.0464	34635.25611	33621.917845	37910.7461325	33529.5711825	34128.5869775	35720.1586575	0.06575780454883717	0.484767312114348	0.390714596443117
PG254673	sp|P42336|PK3CA_HUMAN Phosphatidylinositol 4;5-bisphosphate 3-kinase catalytic subunit alpha isoform OS=Homo sapiens GN=PIK3CA PE=1 SV=2	1068	12.17	12.17	1.592	1	25	11	0	3	3	0	5.630000000000001e-161	3	3	36736.42849	33185.52556	33398.92011	35009.80968	35166.26182	35772.68548	P42336	PIK3CA	P42336	139352.76508	37518.92265	33806.2343975	33587.0462625	33999.0962675	35662.578523749995	33793.071265	-0.07768354339397898	0.368514613001388	0.341081995708517
PG258023	tr|B4DY08|B4DY08_HUMAN Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=1	288	75.69	28.82	32.29	1	233	29	24	22	16	14	0.0	4	2	34304.52896	38260.21079	32511.32984	36630.46043	35421.95038	36140.12972	B4DY08	HNRNPC	B4DY08	139262.82757	34184.951409999994	35292.0341775	36433.66857	33560.19932	34738.492793749996	34996.933945	0.01069337327417235	0.897204251611436	0.517297552060475
PG256766	sp|P83876|TXN4A_HUMAN Thioredoxin-like protein 4A OS=Homo sapiens GN=TXNL4A PE=1 SV=1	142	43.66	43.66	0.0	1	13	5	0	2	2	0	1.35e-71	2	2	32890.08882	28314.20707	32394.40813	34815.26891	31283.56146	33363.68619	P83876	TXNL4A	P83876	139241.74566000002	34139.49734	36256.8568725	35456.711872500004	33347.150494999994	35198.177106250005	34401.93118375	-0.03301116023325815	0.659224013127496	0.451001312125938
PG254888	sp|Q9ULR3|PPM1H_HUMAN Protein phosphatase 1H OS=Homo sapiens GN=PPM1H PE=1 SV=2	514	17.7	17.7	7.198	1	43	10	0	3	2	0	2.01e-139	3	2	34289.40217	33434.54957	31860.78405	36706.8194	35127.51631	35292.37145	Q9ULR3	PPM1H	Q9ULR3	139240.48942	35314.5277975	37098.8419075	33516.0383025	33412.9580575	36206.684852499995	33464.498179999995	-0.1136247067780714	0.130834194285119	0.212426512786433
PG252914	sp|Q14344|GNA13_HUMAN Guanine nucleotide-binding protein subunit alpha-13 OS=Homo sapiens GN=GNA13 PE=1 SV=2	377	28.12	23.08	3.714	1	27	10	2	6	4	1	8.91e-156	4	3	30860.34971	36823.27159	31740.44966	34413.68123	28746.95277	32444.65684	Q14344	GNA13	Q14344	139137.00897999998	33122.57559	35695.822107500004	33848.537235	36322.80072	34409.198848750006	35085.6689775	0.028087568382255474	0.72456025422816	0.470148749419629
PG242762	sp|Q9ULI4|KI26A_HUMAN Kinesin-like protein KIF26A OS=Homo sapiens GN=KIF26A PE=1 SV=3	1882	2.232	2.232	0.0	1	10	4	0	1	1	0	3.1e-53	1	1	32523.86205	30081.35748	36559.6007	31288.87126	34817.44121	33088.2656	Q9ULI4	KIF26A	Q9ULI4	139125.38417	36800.3663675	35847.9122425	33885.6924575	32369.457707499998	36324.139305000004	33127.5750825	-0.13289601090059508	0.0906717506696988	0.180726282675101
PG250099	sp|O43633|CHM2A_HUMAN Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1	222	18.02	12.16	8.108	1	18	5	2	4	4	1	1.26e-63	3	3	33341.11733	36267.13428	36493.53885	36388.26732	37144.27288	35205.73749	O43633	CHMP2A	O43633	139035.6208	35870.180179999996	35314.5277975	35972.8386925	32119.3263625	35592.353988749994	34046.0825275	-0.06407854644707511	0.443051735151061	0.374893472168015
PG245178	tr|A0A0R4J2E2|A0A0R4J2E2_HUMAN R3H and coiled-coil domain-containing protein 1 OS=Homo sapiens GN=R3HCC1 PE=1 SV=1	440	3.864	3.864	0.0	7	4	2	0	2	2	0	6.610000000000001e-21	2	2	29268.43699	33662.76479	34353.90918	33040.08199	35166.71627	31382.1336	Q9Y3T6|Q9Y3T6-3|A0A0R4J2E2|E5RIQ4|E5RHX3|A0A0D9SG39|A0A0D9SF44	R3HCC1	A0A0R4J2E2	139028.44504	32436.8032325	33315.587419999996	37457.618055	35972.8386925	32876.195326249996	36715.22837375	0.15933522430245964	0.0534309292611935	0.144875640500399
PG253036	sp|P30679|GNA15_HUMAN Guanine nucleotide-binding protein subunit alpha-15 OS=Homo sapiens GN=GNA15 PE=1 SV=2	374	11.5	11.5	0.0	1	9	3	0	2	2	0	2.46e-45	2	2	32495.73939	33844.05115	32474.42641	33270.41684	32220.18639	35793.29879	P30679	GNA15	P30679	138873.7225	35430.256035	36587.877435	31646.2227075	35314.5277975	36009.066735	33480.3752525	-0.10504451106666084	0.239228381548961	0.27373840518194
PG244704	sp|O95456|PSMG1_HUMAN Proteasome assembly chaperone 1 OS=Homo sapiens GN=PSMG1 PE=1 SV=1	288	42.36	42.36	6.944	2	25	9	0	5	4	0	4.77e-117	5	4	35089.49007	30838.73088	34303.25798	33257.86594	38010.60655	34783.72332	O95456|O95456-2	PSMG1	O95456	138655.0197	38410.097015	32979.5923725	34804.53194	32482.004455000002	35694.84469375	33643.2681975	-0.08539786522886804	0.446632574891523	0.376385301202829
PG256094	sp|Q15047|SETB1_HUMAN Histone-lysine N-methyltransferase SETDB1 OS=Homo sapiens GN=SETDB1 PE=1 SV=1	1291	6.739	6.739	0.0	3	15	7	0	2	2	0	1.5e-105	2	2	29099.93321	31811.4069	30098.47545	29546.71242	29355.1738	30646.80247	Q15047|Q15047-3|E9PRF4	SETDB1	Q15047	138584.88921999998	35695.822107500004	35972.8386925	31693.6855575	35278.316905	35834.330400000006	33486.001231250004	-0.0977842913110796	0.255475268579697	0.283552104572509
PG255937	sp|Q9Y512|SAM50_HUMAN Sorting and assembly machinery component 50 homolog OS=Homo sapiens GN=SAMM50 PE=1 SV=3	469	27.72	27.72	5.757	1	33	12	0	7	6	0	2.4e-171	6	5	39943.93738	42954.17814	43114.87071	38860.72553	41348.00654	38541.75945	Q9Y512	SAMM50	Q9Y512	138276.34839	29331.891572499997	28630.6452575	40266.9048775	40638.4456525	28981.268415	40452.675265	0.4811143775512551	0.0006866551798477	0.019532600513476
PG253670	sp|Q9HCC0|MCCB_HUMAN Methylcrotonoyl-CoA carboxylase beta chain; mitochondrial OS=Homo sapiens GN=MCCC2 PE=1 SV=1	563	36.41	35.35	0.0	2	42	16	1	3	3	0	1.26e-225	3	3	34673.28246	32721.01461	32791.33319	31725.6528	30806.29369	29592.01239	Q9HCC0|Q9HCC0-2	MCCC2	Q9HCC0	138272.54395999998	39239.6782425	35278.316905	32432.2026875	31430.6847375	37258.99757375	31931.4437125	-0.22261107736124117	0.0411539859242725	0.134397282921174
PG253827	sp|P45983-4|MK08_HUMAN Isoform 4 of Mitogen-activated protein kinase 8 OS=Homo sapiens GN=MAPK8	427	18.97	14.75	0.0	4	16	7	2	2	2	0	4.44e-88	2	2	34483.06849	32080.78712	33261.77645	29830.68497	31068.65453	34207.60269	P45983|P45983-2|P45983-3|P45983-4	MAPK8	P45983-4	137960.65871	36256.8568725	33979.85709	34064.5348775	33573.6977475	35118.35698125	33819.1163125	-0.054386386825642966	0.450328880825856	0.377776363041999
PG256133	sp|Q9H7N4|SFR19_HUMAN Splicing factor; arginine/serine-rich 19 OS=Homo sapiens GN=SCAF1 PE=1 SV=3	1312	14.63	14.63	4.345	1	111	17	0	2	2	0	7.49e-249	2	2	30580.3396	29162.13155	32068.84346	32597.4373	33384.41973	33589.94186	Q9H7N4	SCAF1	Q9H7N4	137940.82064	31430.6847375	32494.3901125	37024.77647	36824.142475	31962.537425000002	36924.4594725	0.20819485718698932	0.0197809424210997	0.103367653205303
PG247019	sp|O95881|TXD12_HUMAN Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1	172	40.12	40.12	0.0	1	29	6	0	5	2	0	1.6199999999999997e-89	5	2	30469.03033	32814.81381	29677.58259	30555.72982	29892.20468	30265.88925	O95881	TXNDC12	O95881	137903.63369000002	31879.8626325	35104.65771	33806.2343975	37024.77647	33492.26017125	35415.50543375	0.08055339463080947	0.391816099217917	0.351531234318701
PG254508	sp|O43913|ORC5_HUMAN Origin recognition complex subunit 5 OS=Homo sapiens GN=ORC5 PE=1 SV=1	435	14.48	14.48	0.0	2	13	6	0	2	2	0	2.9e-83	2	2	32955.25809	38693.53396	41041.99327	37416.97144	39202.04044	37187.91698	O43913|O43913-2	ORC5	O43913	137863.74131	35424.269140000004	37115.809705	37224.04957	28463.12675	36270.039422500005	32843.58816	-0.14316656332681468	0.330848749847013	0.324244781528523
PG255456	sp|Q9H7B2|RPF2_HUMAN Ribosome production factor 2 homolog OS=Homo sapiens GN=RPF2 PE=1 SV=2	306	32.03	32.03	0.0	1	17	8	0	3	3	0	3.49e-104	3	3	29180.85504	39542.93946	37623.2797	36599.8861	38862.82715	32630.54018	Q9H7B2	RPF2	Q9H7B2	137829.82451	36670.6706575	33825.07637	39701.20794	27759.7647075	35247.873513750004	33730.486323749996	-0.06348310389966176	0.667235684315929	0.452527339441351
PG248969	sp|Q9UBL3|ASH2L_HUMAN Set1/Ash2 histone methyltransferase complex subunit ASH2 OS=Homo sapiens GN=ASH2L PE=1 SV=1	628	20.54	20.54	0.0	3	20	10	0	3	3	0	6.7e-143	3	3	31370.26937	29675.58181	29637.36043	35781.57499	32672.26771	35721.73455	Q9UBL3|Q9UBL3-3|F5H8F7	ASH2L	Q9UBL3	137715.24955	36161.69774	30317.739515	37267.2264725	33839.242255	33239.7186275	35553.23436375	0.09707264145233782	0.413426327206962	0.360710170957953
PG245534	sp|Q13546|RIPK1_HUMAN Receptor-interacting serine/threonine-protein kinase 1 OS=Homo sapiens GN=RIPK1 PE=1 SV=3	671	22.65	22.65	1.49	1	18	11	0	4	4	0	9.82e-169	4	4	32398.16794	32464.15956	32103.81138	29040.13764	32205.9624	36019.31111	Q13546	RIPK1	Q13546	137654.72824	37400.552279999996	33848.537235	33739.5883075	32559.1622825	35624.5447575	33149.375295000005	-0.10388989543927005	0.243014315648942	0.276359629299533
PG243960	sp|O14974|MYPT1_HUMAN Protein phosphatase 1 regulatory subunit 12A OS=Homo sapiens GN=PPP1R12A PE=1 SV=1	1030	38.35	38.35	14.47	4	111	35	0	3	3	0	0.0	3	3	31262.29742	33748.2973	33554.82013	31516.97295	32470.29604	36863.69958	O14974|O14974-2|O14974-3|O14974-4	PPP1R12A	O14974	137594.71053	30501.8844975	36597.909132500004	33299.1028275	37267.2264725	33549.896815	35283.16465	0.07267163690203927	0.54804798873529	0.412243943080967
PG257229	sp|Q5T200|ZC3HD_HUMAN Zinc finger CCCH domain-containing protein 13 OS=Homo sapiens GN=ZC3H13 PE=1 SV=1	1668	35.43	35.43	16.19	1	437	81	0	4	4	0	0.0	4	4	38621.71885	35881.05787	40824.30699	36358.79785	52904.31621	42231.38357	Q5T200	ZC3H13	Q5T200	137505.22314000002	27552.131675	33199.343492500004	40519.743212500005	36054.8723825	30375.73758375	38287.307797500005	0.33394677883621	0.0423497320463758	0.135128017122799
PG251016	sp|Q13409-2|DC1I2_HUMAN Isoform 2B of Cytoplasmic dynein 1 intermediate chain 2 OS=Homo sapiens GN=DYNC1I2	632	32.59	32.59	10.44	3	36	15	0	5	5	0	4.85e-217	5	5	31235.83942	34085.49419	32436.28148	36927.87213	33962.05286	39227.70974	Q13409-2|Q13409-3|Q13409-6	DYNC1I2	Q13409-2	137385.81751	34881.0567	34175.9722475	34635.25611	33848.537235	34528.51447375	34241.89667250001	-0.0120256507943354	0.84564184906538	0.503006373909376
PG256441	sp|P09132|SRP19_HUMAN Signal recognition particle 19 kDa protein OS=Homo sapiens GN=SRP19 PE=1 SV=3	144	36.81	36.81	0.0	2	13	4	0	2	2	0	2.68e-63	2	2	33725.42934	32969.27341	32746.93649	34590.39434	32904.47683	34761.58597	P09132|A0A087WYR0	SRP19	P09132	136971.04707	36954.68638	35509.2028175	32803.0463725	31660.059705	36231.94459875	32231.55303875	-0.16878853391427595	0.046987195834297	0.139032515724614
PG252776	sp|Q9H4G4|GAPR1_HUMAN Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3	154	57.79	57.79	0.0	1	19	7	0	3	3	0	4.55e-99	3	3	32583.42878	34151.37801	30478.4277	33152.31287	30501.34762	31796.07837	Q9H4G4	GLIPR2	Q9H4G4	136932.31355	34929.867225	34590.7267075	32640.55142	34703.30833	34760.296966249996	33671.929875	-0.045893997278656784	0.502664767805983	0.397845777978265
PG251591	sp|O00115|DNS2A_HUMAN Deoxyribonuclease-2-alpha OS=Homo sapiens GN=DNASE2 PE=1 SV=2	360	7.778	7.778	0.0	2	6	3	0	1	1	0	1.58e-26	1	1	34536.64534	33072.67761	30502.2013	29298.54149	29425.2218	28726.17227	O00115|O00115-2	DNASE2	O00115	136854.69673999998	36375.68251	35870.180179999996	32617.45632	32031.643615	36122.931345	32324.549967500003	-0.1602846865150313	0.0436358322199162	0.136115349055596
PG244781	sp|O43663|PRC1_HUMAN Protein regulator of cytokinesis 1 OS=Homo sapiens GN=PRC1 PE=1 SV=2	620	28.23	27.1	9.032	2	58	19	1	5	5	0	2.13e-259	4	4	31784.72452	35110.28537	30088.46529	33145.9994	28738.53461	30326.24075	O43663|O43663-4	PRC1	O43663	136841.09704999998	34064.5348775	38497.8055625	33681.52385	30986.017535	36281.17022	32333.7706925	-0.16617922842127986	0.136760814462001	0.214906913399005
PG248687	tr|E7EQ45|E7EQ45_HUMAN AP-5 complex subunit mu-1 OS=Homo sapiens GN=AP5M1 PE=1 SV=1	504	3.77	3.77	0.0	3	3	2	0	2	2	0	1.32e-23	2	2	30966.25985	32700.8593	32266.10683	32031.87846	30058.24262	34986.11514	Q9H0R1|Q9H0R1-2|E7EQ45	AP5M1	E7EQ45	136779.11158	34092.4421575	33496.95006	34703.30833	34489.4468325	33794.69610875	34596.377581249995	0.03382414693528416	0.582381637616825	0.424966975577619
PG252353	sp|Q6UN15|FIP1_HUMAN Pre-mRNA 3'-end-processing factor FIP1 OS=Homo sapiens GN=FIP1L1 PE=1 SV=1	594	48.15	34.34	13.13	1	255	30	8	3	3	0	0.0	3	3	34105.64631	34936.29797	33216.35863	31025.58964	30558.83268	33821.65329	Q6UN15	FIP1L1	Q6UN15	136736.57963	32803.0463725	40026.8508975	29758.896747500003	33915.557475	36414.948635	31837.227111250002	-0.1938161214851637	0.204514451845479	0.255415631531511
PG246210	sp|Q16563-2|SYPL1_HUMAN Isoform 2 of Synaptophysin-like protein 1 OS=Homo sapiens GN=SYPL1	241	13.69	13.69	7.469	2	6	4	0	2	2	0	1.09e-53	2	2	31449.57767	33630.96823	32001.98664	31955.14419	30555.10023	40688.95843	Q16563-2|C9JYN0	SYPL1	Q16563-2	136501.27920999998	35278.316905	34315.2543775	31860.9131625	35104.65771	34796.78564125	33482.78543625	-0.05553449221465714	0.481931629450851	0.390122769912089
PG249469	sp|Q9Y5P4-3|C43BP_HUMAN Isoform 3 of Collagen type IV alpha-3-binding protein OS=Homo sapiens GN=COL4A3BP	752	18.35	18.35	1.729	2	24	13	0	2	2	0	1.03e-176	2	2	34921.48423	33735.29254	28065.25677	32085.2092	31502.56093	30678.21243	Q9Y5P4|Q9Y5P4-3	COL4A3BP	Q9Y5P4-3	136436.73721	38969.15065	34734.50152	30732.18739	31816.557207500002	36851.826085	31274.37229875	-0.23675518098851006	0.0384707961377595	0.131658856888777
PG246360	sp|P05543|THBG_HUMAN Thyroxine-binding globulin OS=Homo sapiens GN=SERPINA7 PE=1 SV=2	415	4.578	4.578	0.0	1	4	2	0	2	2	0	1.0600000000000001e-29	2	2	7551.655404	9120.287555	68938.40436	71801.62268	65454.04195	74672.73401	P05543	SERPINA7	P05543	136370.903893	7855.21146625	9704.5607415	57462.940025	63101.0354825	8779.886103875	60281.98775375	2.7794528597280364	9.1331524144135e-06	0.0011509977352493
PG246728	sp|Q96JJ7|TMX3_HUMAN Protein disulfide-isomerase TMX3 OS=Homo sapiens GN=TMX3 PE=1 SV=2	454	16.74	16.74	0.0	1	13	6	0	4	3	0	2e-85	4	3	31930.59358	40891.91455	35107.72745	34468.40764	34934.26954	31463.93308	Q96JJ7	TMX3	Q96JJ7	136355.47354	36858.0490575	35344.16663	34958.973222500004	29100.471795	36101.10784375	32029.722508750005	-0.17263181083681278	0.162534205526326	0.232359609988238
PG255478	sp|P19387|RPB3_HUMAN DNA-directed RNA polymerase II subunit RPB3 OS=Homo sapiens GN=POLR2C PE=1 SV=2	275	47.64	47.64	5.091	1	35	10	0	7	7	0	2.79e-146	7	7	34467.2051	30174.56752	31350.56207	31419.53396	34906.00749	34365.52715	P19387	POLR2C	P19387	136314.51656	36689.4885925	32947.966975	33384.6641975	33065.9693325	34818.72778375	33225.316764999996	-0.06758053636686999	0.436876794961477	0.372162803655103
PG247304	sp|Q7Z7E8|UB2Q1_HUMAN Ubiquitin-conjugating enzyme E2 Q1 OS=Homo sapiens GN=UBE2Q1 PE=1 SV=1	422	26.78	26.78	0.0	1	14	9	0	4	4	0	3.46e-106	3	3	30999.90915	31675.26878	28436.11081	34474.01414	33928.68448	34111.94624	Q7Z7E8	UBE2Q1	Q7Z7E8	136196.96928000002	33915.557475	35335.4279025	30121.784515	37115.809705	34625.492688750004	33618.79711	-0.0425664940606409	0.688371975062148	0.459444581014579
PG254598	sp|P36955|PEDF_HUMAN Pigment epithelium-derived factor OS=Homo sapiens GN=SERPINF1 PE=1 SV=4	418	9.809	9.809	2.871	1	8	5	0	4	4	0	2.54e-66	4	4	8317.763594	12429.16704	62113.25385	64829.09785	61149.54525	70479.82203	P36955	SERPINF1	P36955	135935.214203	8996.3848285	10337.425090749999	55368.083825	63215.308495	9666.904959625	59291.69616	2.616704105604697	6.42130256196273e-06	0.0010900172614743
PG253412	sp|Q9UNF1|MAGD2_HUMAN Melanoma-associated antigen D2 OS=Homo sapiens GN=MAGED2 PE=1 SV=2	606	40.26	37.46	12.05	1	56	24	3	5	5	1	1.45e-295	4	4	31656.2299	35394.09784	35286.35202	38067.65052	36704.25031	37312.86023	Q9UNF1	MAGED2	Q9UNF1	135772.28024	31380.002135	33347.150494999994	37560.494699999996	33257.123375	32363.576315	35408.8090375	0.1297372794065446	0.20644522758237	0.256141250171631
PG254537	sp|O15381|NVL_HUMAN Nuclear valosin-containing protein-like OS=Homo sapiens GN=NVL PE=1 SV=1	856	16.71	16.71	0.0	2	19	9	0	4	4	0	2.62e-139	4	4	30429.68603	31793.3418	31319.89534	32341.20688	34368.91127	29294.33631	O15381|O15381-5	NVL	O15381	135732.34337	35456.711872500004	33516.0383025	34315.2543775	32677.858650000002	34486.3750875	33496.55651375	-0.04201370060684654	0.562134970770509	0.41839912870824
PG250108	tr|F5H7W8|F5H7W8_HUMAN Chromosome 12 open reading frame 43; isoform CRA_a OS=Homo sapiens GN=C12orf43 PE=1 SV=2	293	48.81	48.81	3.754	2	56	10	0	4	4	0	1.21e-151	4	4	31116.08569	31858.92808	32330.89492	32205.79116	32636.23875	32448.09697	Q96C57|F5H7W8	C12orf43	F5H7W8	135703.59604	32369.457707499998	36038.76511	32346.500455	34734.50152	34204.11140875	33540.500987499996	-0.028265512323658218	0.761311742915551	0.480264066631205
PG256580	sp|Q8TCY9|URGCP_HUMAN Up-regulator of cell proliferation OS=Homo sapiens GN=URGCP PE=1 SV=2	931	10.63	10.63	0.0	3	11	7	0	4	4	0	2.43e-94	4	4	32474.05507	31637.57119	32504.65074	33873.06968	29433.9372	31147.3873	Q8TCY9|Q8TCY9-2|Q8TCY9-4	URGCP	Q8TCY9	135623.37616	32016.207385	35120.899145	33218.2828225	34843.8218475	33568.553265	34031.052335	0.01974140293266881	0.794648770819735	0.490360232223282
PG251000	sp|Q9BVC3|DCC1_HUMAN Sister chromatid cohesion protein DCC1 OS=Homo sapiens GN=DSCC1 PE=1 SV=2	393	27.48	27.48	3.817	1	18	9	0	4	4	0	5.01e-122	4	4	28995.83341	32819.66747	29847.66726	27971.73904	29233.53143	34301.0268	Q9BVC3	DSCC1	Q9BVC3	135323.5995	34315.2543775	34510.8375425	31345.804545	35120.899145	34413.04596	33233.351845	-0.050323785720920215	0.536644322112579	0.40886593440537
PG245420	sp|Q5T5U3|RHG21_HUMAN Rho GTPase-activating protein 21 OS=Homo sapiens GN=ARHGAP21 PE=1 SV=1	1957	4.957	4.957	0.0	1	11	7	0	1	1	0	1.8100000000000003e-64	1	1	29041.63526	26452.13319	33731.98265	32359.23456	32951.48952	38717.55333	Q5T5U3	ARHGAP21	Q5T5U3	135251.72942	32400.4411475	30018.6987225	34734.50152	38204.508642500004	31209.569935	36469.50508125	0.22470214415541057	0.0454342743830559	0.137213597894207
PG255288	sp|Q13162|PRDX4_HUMAN Peroxiredoxin-4 OS=Homo sapiens GN=PRDX4 PE=1 SV=1	271	57.2	50.18	9.963	1	57	12	3	6	6	2	2.07e-201	4	4	35107.50363	36792.09032	29278.60859	34932.30683	33039.13006	31512.3976	Q13162	PRDX4	Q13162	135210.92686	35800.067565	37597.3621	29886.69566	32175.71864	36698.7148325	31031.207150000002	-0.2420097211466982	0.0222536193095456	0.107654287663962
PG255324	sp|Q5VTL8|PR38B_HUMAN Pre-mRNA-splicing factor 38B OS=Homo sapiens GN=PRPF38B PE=1 SV=1	546	26.37	26.37	8.608	1	44	20	0	2	2	0	3.4599999999999996e-240	2	2	34981.9624	35606.12814	34897.93413	32837.69903	31432.12386	35583.23119	Q5VTL8	PRPF38B	Q5VTL8	134996.38425	31030.789855	37803.9828025	31912.56687	33979.85709	34417.38632875	32946.21198	-0.06302494302651097	0.644229310048836	0.446536468199634
PG250572	sp|O76071|CIAO1_HUMAN Probable cytosolic iron-sulfur protein assembly protein CIAO1 OS=Homo sapiens GN=CIAO1 PE=1 SV=1	339	33.33	33.33	7.965	1	22	10	0	4	4	0	1.32e-131	4	4	47850.06	40036.32713	45961.08678	38175.63615	48080.77741	40418.82638	O76071	CIAO1	O76071	134924.69288	26124.316525000002	26900.36701	40864.4972925	41313.7183925	26512.341767500002	41089.1078425	0.6320919005647339	0.0002221130269722	0.0096319694714521
PG254535	sp|P37198|NUP62_HUMAN Nuclear pore glycoprotein p62 OS=Homo sapiens GN=NUP62 PE=1 SV=3	522	26.25	26.25	5.364	1	34	12	0	4	4	0	3.84e-185	4	4	37182.91821	33088.28435	31906.67663	34076.33336	29300.38952	32273.27041	P37198	NUP62	P37198	134923.87503999998	32858.24723	37723.2083975	28960.4636225	35175.939652500005	35290.727813749996	32068.201637500002	-0.13814573294756038	0.32480199582329	0.320963851740749
PG244135	sp|Q13287|NMI_HUMAN N-myc-interactor OS=Homo sapiens GN=NMI PE=1 SV=2	307	26.06	26.06	3.583	1	15	7	0	3	3	0	2.08e-98	3	3	28516.70596	29592.14957	32164.8754	35428.44772	33938.75619	34451.92805	Q13287	NMI	Q13287	134859.36206	31985.64007	33475.217124999996	32677.858650000002	36735.1730075	32730.4285975	34706.51582875	0.0845740466715634	0.369785397232999	0.341178554839923
PG255853	sp|Q9NP92|RT30_HUMAN 39S ribosomal protein S30; mitochondrial OS=Homo sapiens GN=MRPS30 PE=1 SV=2	439	14.81	13.21	0.0	1	15	6	1	2	2	1	2.0400000000000002e-73	1	1	35516.82912	33913.17556	31204.99659	30631.67314	30812.59362	33013.4312	Q9NP92	MRPS30	Q9NP92	134768.66762	35175.939652500005	36467.06305	31158.08802	32230.5568025	35821.50135125	31694.32241125	-0.17660137970895928	0.039327229491645	0.131677864969269
PG247102	tr|A0A0A0MSV9|A0A0A0MSV9_HUMAN Tapasin OS=Homo sapiens GN=TAPBP PE=1 SV=1	504	11.9	11.9	0.0	8	13	4	0	2	2	0	9.369999999999999e-54	2	2	33456.73704	39366.92968	32887.10485	34281.1851	34711.43206	31268.62132	O15533|O15533-2|O15533-3|A2AB90|A0A0G2JH37|A0A0G2JKZ1|Q6P1N7|A0A0A0MSV9	TAPBP	A0A0A0MSV9	134741.73320000002	36651.980957499996	31542.5104875	33979.85709	32436.8032325	34097.245722499996	33208.33016125	-0.038110026622737714	0.732026628559103	0.472249993235621
PG243409	sp|Q53H82|LACB2_HUMAN Endoribonuclease LACTB2 OS=Homo sapiens GN=LACTB2 PE=1 SV=2	288	30.21	30.21	0.0	1	9	7	0	3	3	0	3.02e-96	3	3	34936.12597	29432.56635	28355.03111	33435.76827	38423.01261	36063.73769	Q53H82	LACTB2	Q53H82	134648.06647000002	37290.50373	35800.067565	30575.8441375	30922.509565	36545.2856475	30749.17685125	-0.2491375197623373	0.01130576569309	0.082706037763456
PG248100	sp|P61981|1433G_HUMAN 14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2	247	81.38	61.54	10.53	1	106	20	7	9	7	2	1.92e-284	4	4	33970.79902	30759.34963	33643.94098	35319.74909	39528.7323	34230.01649	P61981	YWHAG	P61981	134621.27304	37910.7461325	32346.500455	30647.2555125	33315.587419999996	35128.62329375	31981.421466249998	-0.13541297464389387	0.262835180985411	0.288491588811973
PG250638	sp|Q86XI2-2|CNDG2_HUMAN Isoform 2 of Condensin-2 complex subunit G2 OS=Homo sapiens GN=NCAPG2	1156	30.54	30.02	2.855	2	55	27	1	8	7	1	0.0	7	6	29297.09121	35041.78369	29751.00967	31575.08959	32735.24347	35160.97942	Q86XI2|Q86XI2-2	NCAPG2	Q86XI2-2	134321.27087999997	32175.71864	34184.951409999994	32716.8667575	34958.973222500004	33180.33502499999	33837.91999	0.028312435618766042	0.710219483133296	0.466434154446726
