Protein Group Name,Uniprot IDs,Representative Protein Description,Uniprot,Exp1 5 min log2 fold change,Exp1 5 min q-value,Exp1 60 min log2 fold change,Exp1 60 min q-value,Exp2 5 min log2 fold change,Exp2 5 min q-value,Exp2 60 min log2 fold change,Exp2 60 min q-value,Significant
PG247717,Q96JH7,sp|Q96JH7|VCIP1_HUMAN Deubiquitinating protein VCIP135 OS=Homo sapiens GN=VCPIP1 PE=1 SV=2,Q96JH7,-0.04413814614331053,0.594910211972207,-0.03315459139010458,0.420911942425401,0.09765491522495917,0.33173574104652,0.3837963136972982,0.084250580489987,False
PG254250,Q96MG7,sp|Q96MG7|NSE3_HUMAN Non-structural maintenance of chromosomes element 3 homolog OS=Homo sapiens GN=NSMCE3 PE=1 SV=1,Q96MG7,-0.04878373195697569,0.50982934684696,0.0033844394863172555,0.534843156751897,0.019039503998275677,0.498804005209795,0.12518958000887412,0.301022502923084,False
PG245312,Q04864-2,sp|Q04864-2|REL_HUMAN Isoform 2 of Proto-oncogene c-Rel OS=Homo sapiens GN=REL,Q04864-2,-0.01425270064691961,0.642237749458115,0.10237192301739952,0.133200568751226,0.15837839741070645,0.203445799549381,-0.014799076962792432,0.65866946497238,False
PG242216,Q8WVV9|Q8WVV9-4|C9IYN3|D6W592,tr|D6W592|D6W592_HUMAN Heterogeneous nuclear ribonucleoprotein L-like OS=Homo sapiens GN=HNRPLL PE=1 SV=1,D6W592,0.19028271626219032,0.152526102349251,0.15328158613138487,0.133200568751226,-0.18577660957718173,0.177911433561708,-0.07271745841313425,0.417024171605924,False
PG252635,Q8TB36,sp|Q8TB36|GDAP1_HUMAN Ganglioside-induced differentiation-associated protein 1 OS=Homo sapiens GN=GDAP1 PE=1 SV=3,Q8TB36,-0.06491665575638803,0.479366340581176,0.09912152106563744,0.134078257905804,-0.18191440751414045,0.134397282921174,-0.13389643533970413,0.362532785478651,False
PG243342,O60256,sp|O60256|KPRB_HUMAN Phosphoribosyl pyrophosphate synthase-associated protein 2 OS=Homo sapiens GN=PRPSAP2 PE=1 SV=1,O60256,0.03449664245916916,0.612638075780433,-0.002675181141903864,0.544643797582689,-0.06415919476520701,0.331124826512462,-0.032788110218093296,0.57519378159807,False
PG248362,P68032|P68133,sp|P68133|ACTS_HUMAN Actin; alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=1 SV=1,P68133,-0.3375760964619285,0.113738986323365,-1.1655745720582815,0.0106784777156542,,,,,True
PG253639,Q9P086|I3L2Q0|I3L3E8,sp|Q9P086|MED11_HUMAN Mediator of RNA polymerase II transcription subunit 11 OS=Homo sapiens GN=MED11 PE=1 SV=2,Q9P086,-0.11962203813138177,0.355723554320579,-0.1287895880229055,0.120349404835637,,,-0.2263587106605557,0.137762521535197,False
PG246302,Q9BXI6|Q9BXI6-2,sp|Q9BXI6-2|TB10A_HUMAN Isoform 2 of TBC1 domain family member 10A OS=Homo sapiens GN=TBC1D10A,Q9BXI6-2,0.15006520489789374,0.262929995277097,0.03381212012824094,0.423942203823625,0.06674139878611092,0.316131255533742,-0.004399289523627143,0.671033597230805,False
PG246524,Q5QJE6,sp|Q5QJE6|TDIF2_HUMAN Deoxynucleotidyltransferase terminal-interacting protein 2 OS=Homo sapiens GN=DNTTIP2 PE=1 SV=2,Q5QJE6,0.03101368228685312,0.54528820569646,0.24631166527959747,0.0085909577232578,0.02646934957985247,0.48487021664992,0.013531750718751684,0.671186255663404,False
PG254235,O95989,sp|O95989|NUDT3_HUMAN Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Homo sapiens GN=NUDT3 PE=1 SV=1,O95989,0.06239223132954168,0.584172275151135,0.14431123606423277,0.163252758111073,-0.03408090603956833,0.468080365445503,0.06691632855771795,0.500893803054654,False
PG250411,Q99829|B0QZ18,tr|B0QZ18|B0QZ18_HUMAN Copine-1 OS=Homo sapiens GN=CPNE1 PE=1 SV=1,B0QZ18,-0.07180647209095177,0.42303582217376,0.08230463145853253,0.22121637534909,-0.04296404208540709,0.417113657704044,-0.13707845000547686,0.27567131862586,False
PG249360,P54132,sp|P54132|BLM_HUMAN Bloom syndrome protein OS=Homo sapiens GN=BLM PE=1 SV=1,P54132,0.12352864285633107,0.324269148191057,0.06893982527128077,0.241269030821031,-0.011586763375993205,0.515474137263136,,,False
PG252603,Q9C0B1|A0A1B0GTC3|A0A1B0GVH5,tr|A0A1B0GVH5|A0A1B0GVH5_HUMAN Alpha-ketoglutarate-dependent dioxygenase FTO OS=Homo sapiens GN=FTO PE=1 SV=1,A0A1B0GVH5,-0.09162684301003704,0.349977760010665,-0.18069847819205376,0.0617618656220572,-0.03099414996804017,0.457471623962483,-0.024035854631703768,0.616870871207352,False
PG248598,P36404,sp|P36404|ARL2_HUMAN ADP-ribosylation factor-like protein 2 OS=Homo sapiens GN=ARL2 PE=1 SV=4,P36404,0.04826038073004288,0.51140355018338,0.17621597963447153,0.0784517925372123,-0.2022563772821777,0.13241279168882,-0.11112433775310115,0.322800819885157,False
PG244916,Q9NPQ8|Q9NPQ8-4,sp|Q9NPQ8|RIC8A_HUMAN Synembryn-A OS=Homo sapiens GN=RIC8A PE=1 SV=3,Q9NPQ8,0.597261517465387,0.0168200613670656,0.718824181896492,0.0008084666683317,-0.18259494710148771,0.130005889093155,-0.1750714065293745,0.253481038838362,True
PG261570,G3V5M2,tr|G3V5M2|G3V5M2_HUMAN Purine nucleoside phosphorylase (Fragment) OS=Homo sapiens GN=PNP PE=1 SV=1,G3V5M2,-0.01269268528784594,0.639740130031847,-0.03452838391099562,0.427962650473584,,,,,False
PG255593,P82933,sp|P82933|RT09_HUMAN 28S ribosomal protein S9; mitochondrial OS=Homo sapiens GN=MRPS9 PE=1 SV=2,P82933,0.01646120691489382,0.643214915432796,-0.017640608397700458,0.498179937502734,0.14231817927236007,0.154331117252945,-0.08045535347216312,0.497960284633364,False
PG246101,Q9BWJ5,sp|Q9BWJ5|SF3B5_HUMAN Splicing factor 3B subunit 5 OS=Homo sapiens GN=SF3B5 PE=1 SV=1,Q9BWJ5,-0.040566479394257796,0.534078924610783,-0.054236016258087244,0.266254020631065,-0.7402883424061057,0.0082331401526502,-0.6074342250373389,0.084250580489987,True
PG244265,Q86X76|Q86X76-2|Q86X76-3|Q86X76-4,sp|Q86X76-3|NIT1_HUMAN Isoform 4 of Nitrilase homolog 1 OS=Homo sapiens GN=NIT1,Q86X76-3,0.028277277648481328,0.587568435570014,0.05155619011357353,0.293098075237203,0.005340409396622992,0.541653839000188,-0.0628290248542687,0.49087146910393,False
PG256115,Q6P3W7|A0A0U1RQQ9,tr|A0A0U1RQQ9|A0A0U1RQQ9_HUMAN SCY1-like protein 2 OS=Homo sapiens GN=SCYL2 PE=1 SV=1,A0A0U1RQQ9,-0.03529399504156709,0.596591414836327,-0.07963987647041708,0.272294981351696,-0.11482258014563405,0.412243943080967,0.09500091193486342,0.360094614514413,False
PG249533,P46736|P46736-2|P46736-3,sp|P46736|BRCC3_HUMAN Lys-63-specific deubiquitinase BRCC36 OS=Homo sapiens GN=BRCC3 PE=1 SV=2,P46736,-0.02282943004099939,0.679691795520669,-0.06912873883362974,0.456716110845831,-0.12790786355332184,0.289318100984348,-0.002623766601669777,0.674606779345437,False
PG242543,P52294,sp|P52294|IMA5_HUMAN Importin subunit alpha-5 OS=Homo sapiens GN=KPNA1 PE=1 SV=3,P52294,-0.1421969606168435,0.260650466887808,-0.11955784281395505,0.0698654314081033,-0.24424926287532336,0.126240170156557,-0.128241840443912,0.272946631163446,False
PG255528,Q8WVD3,sp|Q8WVD3|RN138_HUMAN E3 ubiquitin-protein ligase RNF138 OS=Homo sapiens GN=RNF138 PE=1 SV=1,Q8WVD3,-0.1439324141070123,0.374480698197829,0.06815140965148772,0.497220983056933,,,0.13107384924023277,0.408463061862465,False
PG252746,P23434,sp|P23434|GCSH_HUMAN Glycine cleavage system H protein; mitochondrial OS=Homo sapiens GN=GCSH PE=1 SV=2,P23434,-0.0705965896081594,0.573308277705173,0.09990453476104523,0.256043557390557,-0.4627024100955414,0.0590002660567075,-0.3808021194200209,0.136564610918913,False
PG251125,Q8WYP5|Q8WYP5-2|Q8WYP5-3,sp|Q8WYP5-2|ELYS_HUMAN Isoform 2 of Protein ELYS OS=Homo sapiens GN=AHCTF1,Q8WYP5-2,0.13402721469334652,0.439693528375014,0.07182221434809782,0.431595892713123,0.1497571551976687,0.382852406508048,-0.10539094480057812,0.530456400817263,False
PG247450,Q6IBS0,sp|Q6IBS0|TWF2_HUMAN Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=2,Q6IBS0,-0.0353180051550229,0.556091564537963,-0.02664623757867156,0.434416566771895,-0.06385002720767055,0.354882545228861,-0.1546946471811778,0.24272135813877,False
PG255748,Q9NVU7,sp|Q9NVU7|SDA1_HUMAN Protein SDA1 homolog OS=Homo sapiens GN=SDAD1 PE=1 SV=3,Q9NVU7,0.06677233747287581,0.503823704567887,0.12080398428733935,0.19492344882473,0.10121751183623566,0.409886552726018,-0.0031009210995364854,0.66555708938261,False
PG262400,A0A0A0MRE3|G3V5X4,tr|A0A0A0MRE3|A0A0A0MRE3_HUMAN Nesprin-2 OS=Homo sapiens GN=SYNE2 PE=1 SV=1,A0A0A0MRE3,0.15381360327437588,0.234599822395023,0.2223546624079926,0.0251146520738088,-0.037540062009493835,0.452222122082104,0.02924737297278001,0.648350668403366,False
PG251143,O00471|A0A0A0MSI8,tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN Exocyst complex component 5 OS=Homo sapiens GN=EXOC5 PE=1 SV=1,A0A0A0MSI8,-0.040475921163287194,0.562985188063231,0.020882321748758904,0.498284744799876,-0.09849383138112215,0.348128166872811,-0.21066765107811047,0.180992744316407,False
PG257731,Q5TEC6,tr|Q5TEC6|Q5TEC6_HUMAN Histone H3 OS=Homo sapiens GN=HIST2H3PS2 PE=1 SV=1,Q5TEC6,1.0291195728646232,0.0003630328750815,0.9428705129738996,0.0001094817012132,0.2246093311909573,0.343506398638452,0.0489419414996077,0.674330139082371,True
PG248874,P54252|P54252-2|P54252-4|D3VVH9|A0A087X1A8|G3V3R7|A0A087WXY4|F5H211,tr|F5H211|F5H211_HUMAN Ataxin-3 OS=Homo sapiens GN=ATXN3 PE=1 SV=2,F5H211,0.01160582662784841,0.669664889778329,-0.05622777333153536,0.308400177350872,0.027796476349608464,0.458583659501815,-0.036099550931568546,0.592608795303432,False
PG242819,Q15058,sp|Q15058|KIF14_HUMAN Kinesin-like protein KIF14 OS=Homo sapiens GN=KIF14 PE=1 SV=1,Q15058,0.006881847416140031,0.668973400918007,0.01828290069256062,0.512452745723882,1.3634706385106874,0.0286962942766884,0.07075927860301812,0.474801125908565,True
PG244242,O43678,sp|O43678|NDUA2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens GN=NDUFA2 PE=1 SV=3,O43678,-0.03849712091807659,0.590579117845425,-0.0802430346312515,0.282003015641377,0.02359021460464666,0.497827439100486,0.7272953692790687,0.0563934534293644,True
PG258877,R4GMX3,tr|R4GMX3|R4GMX3_HUMAN COMMD3-BMI1 readthrough OS=Homo sapiens GN=COMMD3-BMI1 PE=4 SV=1,R4GMX3,-0.05909738991836734,0.579654397370836,-0.05298965857971353,0.430459522118071,-0.20285820367426508,0.118086851605027,0.07274467258165897,0.475180147806052,False
PG250158,O75419|O75419-2|O75419-3,sp|O75419-3|CDC45_HUMAN Isoform 3 of Cell division control protein 45 homolog OS=Homo sapiens GN=CDC45,O75419-3,-0.02776823420549851,0.601878254746987,-0.18286981353342216,0.145229373724709,-0.09782733112773595,0.225012002096611,-0.012212090791518498,0.665472285141912,False
PG246472,P68366|P68366-2,sp|P68366|TBA4A_HUMAN Tubulin alpha-4A chain OS=Homo sapiens GN=TUBA4A PE=1 SV=1,P68366,0.005486803872201077,0.672428372738384,0.0878498509844108,0.215749320965605,-0.09979301525549279,0.246269291336837,0.0008100510582209992,0.681912356272673,False
PG249349,Q6P1N0|Q6P1N0-2,sp|Q6P1N0|C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A OS=Homo sapiens GN=CC2D1A PE=1 SV=1,Q6P1N0,0.3241218457687344,0.187586554779665,0.1312892599878085,0.240157562612915,0.15038466695423502,0.255350103501716,0.035917401904927704,0.628822528244847,False
PG246278,Q7Z422|Q7Z422-4|Q7Z422-5,sp|Q7Z422|SZRD1_HUMAN SUZ domain-containing protein 1 OS=Homo sapiens GN=SZRD1 PE=1 SV=1,Q7Z422,0.03313470740562922,0.625944228350457,0.06432164378893253,0.273308725834298,0.22245506934660875,0.220492059601965,0.04409406708579875,0.557708663038114,False
PG247795,P42768,sp|P42768|WASP_HUMAN Wiskott-Aldrich syndrome protein OS=Homo sapiens GN=WAS PE=1 SV=4,P42768,-0.03764309762181882,0.547152678974428,0.14762351638466104,0.0581061791562986,0.16230594803363937,0.242273213134875,0.1766522507105418,0.234452449727986,False
PG253947,Q9HC36,sp|Q9HC36|MRM3_HUMAN rRNA methyltransferase 3; mitochondrial OS=Homo sapiens GN=MRM3 PE=1 SV=2,Q9HC36,0.05640025940916693,0.502789679567311,0.01888301533650543,0.522009691592774,-0.16481896588034267,0.131658856888777,0.039737510130238095,0.566277554169057,False
PG252903,Q9H4A6,sp|Q9H4A6|GOLP3_HUMAN Golgi phosphoprotein 3 OS=Homo sapiens GN=GOLPH3 PE=1 SV=1,Q9H4A6,-0.042268361961607076,0.52467068759998,0.00346163819686007,0.543869987990109,-0.26927162480370354,0.115098339376848,-0.2138993525164772,0.171773862622486,False
PG253165,Q9Y5Z4,sp|Q9Y5Z4|HEBP2_HUMAN Heme-binding protein 2 OS=Homo sapiens GN=HEBP2 PE=1 SV=1,Q9Y5Z4,-0.003927646301013924,0.682446236144626,0.12099606326618013,0.219004242970879,0.8656132452037648,0.0060095183034781,-0.20479256817188948,0.190287537145126,True
PG266326,H7BZJ3,tr|H7BZJ3|H7BZJ3_HUMAN Protein disulfide-isomerase A3 (Fragment) OS=Homo sapiens GN=PDIA3 PE=1 SV=1,H7BZJ3,-0.8976739602535987,0.0390866630171258,-3.2747238109912673,0.0068682759577883,-0.23241171060290364,0.258104356191314,-0.26521851650323913,0.128262999596602,True
PG253797,Q96G25|Q96G25-2,sp|Q96G25-2|MED8_HUMAN Isoform 2 of Mediator of RNA polymerase II transcription subunit 8 OS=Homo sapiens GN=MED8,Q96G25-2,-0.0746859654335547,0.432949709423566,0.003342325997007343,0.531958888561871,-0.04979739214677128,0.467251277574275,0.43444720354573846,0.105517592605221,False
PG243901,P15531|P15531-2,sp|P15531-2|NDKA_HUMAN Isoform 2 of Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1,P15531-2,-0.09980729934655488,0.382993839846708,0.020861129296966572,0.506729568352341,-0.35661844671569626,0.0784586461957347,-0.2297897355056505,0.15796248114532,False
PG253063,Q969Y2|Q969Y2-2|Q969Y2-3|Q969Y2-4,sp|Q969Y2-2|GTPB3_HUMAN Isoform 2 of tRNA modification GTPase GTPBP3; mitochondrial OS=Homo sapiens GN=GTPBP3,Q969Y2-2,-0.0736949826861288,0.414302346881806,-0.07703412951629186,0.179042053850139,0.13290174367004953,0.170322618968299,0.10544654573620288,0.38699449015613,False
PG264383,A0A0U1RQK7,tr|A0A0U1RQK7|A0A0U1RQK7_HUMAN Eukaryotic translation initiation factor 4 gamma 3 OS=Homo sapiens GN=EIF4G3 PE=1 SV=1,A0A0U1RQK7,-0.026597233717993135,0.578733052691597,0.0388995251397433,0.336639522142797,0.057005677894984,0.372654606617805,-0.044941758018373565,0.534828022909488,False
PG256644,Q96PU4,sp|Q96PU4|UHRF2_HUMAN E3 ubiquitin-protein ligase UHRF2 OS=Homo sapiens GN=UHRF2 PE=1 SV=1,Q96PU4,0.10571402451889628,0.434139438978191,0.04122152376593097,0.43519524031834,-0.07325399615419666,0.404616293997128,0.16046976951475356,0.269281878193432,False
PG254798,Q8NBL1,sp|Q8NBL1|PGLT1_HUMAN Protein O-glucosyltransferase 1 OS=Homo sapiens GN=POGLUT1 PE=1 SV=1,Q8NBL1,-0.040774069122121906,0.543567595997476,-0.0007506722569933146,0.540833869126998,0.01687379220959971,0.497488455871989,-0.05546251023022851,0.545643917293075,False
PG243044,Q9BX67|Q9BX67-2,sp|Q9BX67|JAM3_HUMAN Junctional adhesion molecule C OS=Homo sapiens GN=JAM3 PE=1 SV=1,Q9BX67,-0.1112622110399431,0.535428035993594,-0.16290184911461367,0.300456424056193,-0.15396536173532413,0.244557977031953,-0.0925871933927826,0.407496607360976,False
PG247798,Q96MX6|Q96MX6-2,sp|Q96MX6|WDR92_HUMAN WD repeat-containing protein 92 OS=Homo sapiens GN=WDR92 PE=1 SV=1,Q96MX6,0.06076004922883263,0.40633246721358,0.09527834621914949,0.128283811420497,-0.07901536943942201,0.472628339246326,0.081662017416811,0.475372172779153,False
PG250916,Q7Z4W1|J3QS36|J3KS22,sp|Q7Z4W1|DCXR_HUMAN L-xylulose reductase OS=Homo sapiens GN=DCXR PE=1 SV=2,Q7Z4W1,-0.3319014988503169,0.158900686533539,-0.8882921158842668,0.0145871242689865,-0.25908389008454263,0.131658856888777,-0.18456597841302383,0.184391422123774,True
PG252740,Q92538-2|Q92538-3,sp|Q92538-2|GBF1_HUMAN Isoform 2 of Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 OS=Homo sapiens GN=GBF1,Q92538-2,0.00033160920679543485,0.683513998472473,0.0723097985271294,0.227566216400255,-0.0836848183813851,0.264616100190404,-0.007583215597049786,0.659829698138679,False
PG255347,Q96EL3,sp|Q96EL3|RM53_HUMAN 39S ribosomal protein L53; mitochondrial OS=Homo sapiens GN=MRPL53 PE=1 SV=1,Q96EL3,0.12189113149600189,0.364001641062073,0.41144931791001566,0.0954042510301419,0.07046387497155722,0.444326479685512,-0.08568644304223366,0.415684672388355,False
PG250108,Q96C57|F5H7W8,tr|F5H7W8|F5H7W8_HUMAN Chromosome 12 open reading frame 43; isoform CRA_a OS=Homo sapiens GN=C12orf43 PE=1 SV=2,F5H7W8,-0.022906583123855573,0.606672385137215,0.0030996838425475528,0.534843156751897,-0.028265512323658218,0.480264066631205,0.04898791943862218,0.592044825788497,False
PG248399,Q9UEY8|Q9UEY8-2,sp|Q9UEY8|ADDG_HUMAN Gamma-adducin OS=Homo sapiens GN=ADD3 PE=1 SV=1,Q9UEY8,-0.05685888509961471,0.47087228475156,0.06783328465222585,0.249832273568411,0.03924160584076919,0.492993400995926,-0.03825260460744054,0.549922835732374,False
PG255396,P05386,sp|P05386|RLA1_HUMAN 60S acidic ribosomal protein P1 OS=Homo sapiens GN=RPLP1 PE=1 SV=1,P05386,-0.3819364609619456,0.112405396302214,-1.8999767409687052,0.0183035442852456,-0.13145391800532522,0.190753366761384,-0.09723218675592367,0.479308701173279,True
PG250794,Q05048,sp|Q05048|CSTF1_HUMAN Cleavage stimulation factor subunit 1 OS=Homo sapiens GN=CSTF1 PE=1 SV=1,Q05048,-0.05399188303327392,0.526431874952855,0.01103543460442827,0.497554747326596,-0.15057941263956778,0.25825670260624,-0.12148811911428585,0.294452737286808,False
PG252089,P18074|A8MX75,sp|P18074|ERCC2_HUMAN TFIIH basal transcription factor complex helicase XPD subunit OS=Homo sapiens GN=ERCC2 PE=1 SV=1,P18074,-0.06833501911614975,0.443187956973864,0.022611007881285998,0.433415019975254,0.16471400995169053,0.131658856888777,-0.06386412686590627,0.47488273492691,False
PG253326,Q8IV50,sp|Q8IV50|LYSM2_HUMAN LysM and putative peptidoglycan-binding domain-containing protein 2 OS=Homo sapiens GN=LYSMD2 PE=1 SV=1,Q8IV50,-0.16423140619292673,0.188896488834703,-0.17512614962840803,0.0360882816521537,-0.01704714067950295,0.511274661859249,-0.09056079511532758,0.405581178378247,False
PG244276,P07196,sp|P07196|NFL_HUMAN Neurofilament light polypeptide OS=Homo sapiens GN=NEFL PE=1 SV=3,P07196,-0.004955712702957968,0.668973400918007,-0.34492829305664235,0.0289486263468682,-0.09566893758588206,0.418061603697215,0.1372479732973096,0.611109843348164,False
PG254983,Q9NY27,sp|Q9NY27|PP4R2_HUMAN Serine/threonine-protein phosphatase 4 regulatory subunit 2 OS=Homo sapiens GN=PPP4R2 PE=1 SV=3,Q9NY27,-0.19461219308276068,0.258104747537042,-0.11390827746061645,0.203264754289389,-0.08149771534725514,0.272233904978045,0.13698772331836037,0.343258781056462,False
PG243982,Q96HR8|Q96HR8-2,sp|Q96HR8|NAF1_HUMAN H/ACA ribonucleoprotein complex non-core subunit NAF1 OS=Homo sapiens GN=NAF1 PE=1 SV=2,Q96HR8,0.29487950702469345,0.180689721280138,0.20803492563089354,0.0806406556872185,,,,,False
PG253051,P35754,sp|P35754|GLRX1_HUMAN Glutaredoxin-1 OS=Homo sapiens GN=GLRX PE=1 SV=2,P35754,0.057179010218114446,0.486408713603866,0.1348361385153652,0.155241090531041,-0.22220604344352063,0.109618010315839,-0.21004745331540955,0.256804245620327,False
PG242273,Q00839-2,sp|Q00839-2|HNRPU_HUMAN Isoform Short of Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens GN=HNRNPU,Q00839-2,0.36785507554035596,0.277704976879938,-0.11090429714736329,0.486689802765372,,,,,False
PG244129,Q9NVX2,sp|Q9NVX2|NLE1_HUMAN Notchless protein homolog 1 OS=Homo sapiens GN=NLE1 PE=1 SV=4,Q9NVX2,-0.16279201505695165,0.300875807377031,-0.0864892644226388,0.290545624512729,0.27258194557232246,0.076879979371162,-0.162066006648212,0.29816563052405,False
PG245857,Q9Y448|Q9Y448-2|V9GY01,sp|Q9Y448|SKAP_HUMAN Small kinetochore-associated protein OS=Homo sapiens GN=KNSTRN PE=1 SV=2,Q9Y448,-0.03796834772388347,0.563040842845386,0.13470307956481745,0.13636385963033,-0.05461911109873085,0.383214804258585,-0.004391582274720389,0.666686815644832,False
PG243443,Q9UHB6|Q9UHB6-4,sp|Q9UHB6-4|LIMA1_HUMAN Isoform 4 of LIM domain and actin-binding protein 1 OS=Homo sapiens GN=LIMA1,Q9UHB6-4,-0.08127140258607614,0.331730476522357,-0.07446636397652015,0.333998034955423,0.04466103533204746,0.400921791370062,-0.21833038291727203,0.172363107057147,False
PG254123,Q9GZT8|Q9GZT8-2,sp|Q9GZT8|NIF3L_HUMAN NIF3-like protein 1 OS=Homo sapiens GN=NIF3L1 PE=1 SV=2,Q9GZT8,0.15551829745283932,0.189393683240243,0.192439875657062,0.0420792658582113,0.01102419380989819,0.51706271972693,-0.03929706529332254,0.545716838023278,False
PG254558,Q9UBU9,sp|Q9UBU9|NXF1_HUMAN Nuclear RNA export factor 1 OS=Homo sapiens GN=NXF1 PE=1 SV=1,Q9UBU9,-0.24636742886115576,0.339036124723743,0.0325885833399179,0.520736747324666,0.0894407860784871,0.262983245846852,0.10453811102592936,0.370226640668776,False
PG245655,Q96EU6|Q96EU6-2,sp|Q96EU6|RRP36_HUMAN Ribosomal RNA processing protein 36 homolog OS=Homo sapiens GN=RRP36 PE=1 SV=1,Q96EU6,-0.0026267895640673007,0.683878696998624,0.044524342053848205,0.395753979662733,0.5083516880317667,0.053099590698049,0.11622092518163028,0.449684531386186,False
PG253770,Q9NR56|C9JP00|A0A0A0MQX8,tr|A0A0A0MQX8|A0A0A0MQX8_HUMAN Muscleblind-like protein 1 OS=Homo sapiens GN=MBNL1 PE=1 SV=1,A0A0A0MQX8,0.1500800090291393,0.453679036930112,0.00019246321908061853,0.53352315918608,0.06255340658370212,0.450225278547966,,,False
PG252776,Q9H4G4,sp|Q9H4G4|GAPR1_HUMAN Golgi-associated plant pathogenesis-related protein 1 OS=Homo sapiens GN=GLIPR2 PE=1 SV=3,Q9H4G4,-0.06494218347231578,0.422039333981166,-0.00909485357067893,0.512752786461002,-0.045893997278656784,0.397845777978265,-0.011966813392953055,0.650702592293627,False
PG268863,E9PCW1,tr|E9PCW1|E9PCW1_HUMAN Golgi SNAP receptor complex member 1 OS=Homo sapiens GN=GOSR1 PE=1 SV=1,E9PCW1,-0.045442641689448435,0.568216151487437,-0.0006397178614543208,0.535733795658292,0.3483647412496862,0.0683476478623033,0.2247768100364066,0.149594900630326,False
PG252016,Q9Y6I3,sp|Q9Y6I3|EPN1_HUMAN Epsin-1 OS=Homo sapiens GN=EPN1 PE=1 SV=2,Q9Y6I3,0.05487803420084408,0.520432597553738,-0.06707724349199234,0.325008262893173,-0.12298863076830159,0.376092604498955,0.22463910295951459,0.147416278506308,False
PG250351,Q5T6V5,sp|Q5T6V5|CI064_HUMAN UPF0553 protein C9orf64 OS=Homo sapiens GN=C9orf64 PE=1 SV=1,Q5T6V5,-0.02136678591649123,0.651276041481107,-0.10740852447703321,0.282621801672133,0.0651586135975527,0.32688684706621,-0.000627816163513856,0.68208018096085,False
PG246827,O60830|O60830-2|V9GYU0|V9GYS0,sp|O60830-2|TI17B_HUMAN Isoform 2 of Mitochondrial import inner membrane translocase subunit Tim17-B OS=Homo sapiens GN=TIMM17B,O60830-2,0.012580053305036122,0.650084313495746,0.04820114490311331,0.447751149362945,0.3040043464781942,0.128900329743965,-0.15555082748096202,0.232488885487086,False
PG256211,Q99961,sp|Q99961|SH3G1_HUMAN Endophilin-A2 OS=Homo sapiens GN=SH3GL1 PE=1 SV=1,Q99961,-0.15372682059145082,0.270591010374701,-0.12052546534124373,0.177649733426047,0.15606916532856802,0.246874363947054,0.09687943028664711,0.419936545618191,False
PG252677,Q9H3K2,sp|Q9H3K2|GHITM_HUMAN Growth hormone-inducible transmembrane protein OS=Homo sapiens GN=GHITM PE=1 SV=2,Q9H3K2,0.036953877811054546,0.588608937302494,0.19845552690704818,0.0686397513332661,-0.2572422020066133,0.0822728059562191,0.19846119577094945,0.268128811409237,False
PG242594,Q14197,sp|Q14197|ICT1_HUMAN Peptidyl-tRNA hydrolase ICT1; mitochondrial OS=Homo sapiens GN=MRPL58 PE=1 SV=1,Q14197,0.031715767752330766,0.527568354237438,-0.18624162623398724,0.0246630423577769,-0.11585651726363333,0.272063427621137,-0.156962862699408,0.278046467430428,False
PG248551,O94973|O94973-2,sp|O94973-2|AP2A2_HUMAN Isoform 2 of AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2,O94973-2,-0.13954002462859427,0.194929885561964,-0.03731004217674938,0.416294366582871,-0.0901507854576718,0.263627785922743,-0.17128882630633627,0.234850020667076,False
PG249383,Q6UB35,sp|Q6UB35|C1TM_HUMAN Monofunctional C1-tetrahydrofolate synthase; mitochondrial OS=Homo sapiens GN=MTHFD1L PE=1 SV=1,Q6UB35,-0.1417182378409388,0.272672315212337,-0.14459200145723244,0.0769920604195556,1.6390640616936767,0.08052598726256,1.6536225847091206,0.0227646689307168,True
PG251508,Q8IXB1|Q8IXB1-2,sp|Q8IXB1|DJC10_HUMAN DnaJ homolog subfamily C member 10 OS=Homo sapiens GN=DNAJC10 PE=1 SV=2,Q8IXB1,-0.006301938142307729,0.662156603608778,-0.05663375042417967,0.23625941355302,-0.0590142552736833,0.342145548852863,-0.21249159769059967,0.15527714549294,False
PG242306,Q6YN16,sp|Q6YN16|HSDL2_HUMAN Hydroxysteroid dehydrogenase-like protein 2 OS=Homo sapiens GN=HSDL2 PE=1 SV=1,Q6YN16,0.010657036298153772,0.651276041481107,-0.08124351087474271,0.240157562612915,-0.03816011572753091,0.410527778480073,-0.1665173372275477,0.213800068205018,False
PG255752,Q9Y399,sp|Q9Y399|RT02_HUMAN 28S ribosomal protein S2; mitochondrial OS=Homo sapiens GN=MRPS2 PE=1 SV=1,Q9Y399,-0.09890312955121082,0.432417910338538,-0.039171201431495425,0.449122702841237,-0.05310112532549493,0.360710170957953,-0.15045113937472687,0.260776654268326,False
